name,simple_name,risk_level,side_effects,source,tags
Water,Water,Low,No known risk,General safe ingredient,base|safe
Acrylates Copolymer,Film Former,Low,Generally safe,cosmeticsinfo.org,synthetic|film
Stearic Acid,Emulsifier,Low,Generally safe,cosmeticsinfo.org,fatty acid|emulsifier
Cera Alba,Beeswax,Low,Safe,cosmeticsinfo.org,wax|natural
Polyisobutene,Thickener,Low,Generally safe,cosmeticsinfo.org,thickener|synthetic
PEG-100 Stearate,Emulsifier,Medium,May cause irritation,ewg.org,emulsifier|irritant
Glyceryl Stearate,Emulsifier,Low,Generally safe,cosmeticsinfo.org,emulsifier
CI 77266,Carbon Black,Low,Generally safe,cosmeticsinfo.org,color|pigment
CI 77499,Iron Oxide,Low,Generally safe,cosmeticsinfo.org,color|pigment
Cetearyl Alcohol,Emulsifier,Low,Generally safe,cosmeticsinfo.org,fatty alcohol
Propylene Glycol,Humectant,Medium,May cause irritation,ewg.org,irritant|moisture
Hydroxyethylcellulose,Thickener,Low,Safe,cosmeticsinfo.org,thickener
Triethanolamine,pH Adjuster,Medium,May cause irritation,ewg.org,irritant|chemical
Phenoxyethanol,Preservative,Medium,May cause skin irritation,ewg.org,preservative|irritant
Methylparaben,Preservative,High,Hormone disruption,pubmed,paraben|harmful
Propylparaben,Preservative,High,Hormone disruption,pubmed,paraben|harmful
Sodium Laureth Sulfate,SLS Variant,Medium,Skin irritation,ewg.org,cleanser|sulfate
Sodium Lauryl Sulfate,SLS,High,Skin irritation,ewg.org,cleanser|harsh
Fragrance,Perfume,Medium,Allergies & headaches,ewg.org,fragrance|allergy
Phthalates,Plasticizer,High,Endocrine disruptor,cdc,chemical|toxic
BHT,Preservative,High,May cause irritation,ewg.org,preservative|toxic
Formaldehyde,Preservative,High,Carcinogenic,who,toxic|cancer
Talc,Talc,Medium,Possible asbestos risk,fda,minerals
Silicone (Dimethicone),Hair Coating Agent,Medium,Buildup on hair,cosmeticsinfo.org,silicone|hair
Cyclopentasiloxane,Silicone,Medium,Environmental persistence,ewg.org,silicone
Mineral Oil,Occlusive Oil,Medium,May clog pores,ewg.org,oil|clog pores
Petrolatum,Petroleum Jelly,Medium,May clog pores,ewg.org,oil|occlusive
Niacinamide,Skin Active,Low,Occasional mild irritation,pubmed,skin|vitamin
Hyaluronic Acid,Hydrator,Low,Very safe,cosmeticsinfo.org,hydration|skin
Retinol,Vitamin A,Medium,Peeling & sensitivity,fda,anti-aging
Zinc Oxide,Sunscreen Agent,Low,Safe,fda,sunscreen|UV
Purified Water,Water,Low,No known risk,General safe ingredient,base|safe
Sodium Lauroyl Methyl Isethionate,Cleanser,Low,Gentle surfactant,cosmeticsinfo.org,cleanser|mild
Cocamidopropyl Betaine,Cleanser,Medium,May cause irritation in sensitive skin,ewg.org,cleanser|irritant
Propanediol,Humectant,Low,Generally safe,cosmeticsinfo.org,moisture|safe
Glycerin,Humectant,Low,Very safe and hydrating,cosmeticsinfo.org,hydration|skin
Dimethiconol,Silicone,Medium,May cause buildup on hair,ewg.org,silicone|hair
TEA-Dodecylbenzenesulfonate,Cleanser,High,Can be harsh and irritating,ewg.org,surfactant|harsh
Perfume,Fragrance,Medium,Allergies and irritation,ewg.org,fragrance|allergy
Piroctone Olamine,Anti-dandruff,Low,Generally safe,pubmed,anti-dandruff|scalp
Salicylic Acid,Exfoliant,Medium,May cause dryness or irritation,fda,acid|exfoliant
Panthenol,Pro-vitamin B5,Low,Very safe and soothing,cosmeticsinfo.org,vitamin|hair
Rosmarinus Officinalis Extract,Herbal Extract,Low,Generally safe,cosmeticsinfo.org,herbal|natural
Niacin,Vitamin B3,Low,Safe,pubmed,vitamin|skin
Biotin,Vitamin B7,Low,Safe,pubmed,vitamin|hair
Aloe Barbadensis Leaf Extract,Aloe Vera,Low,Soothing and safe,cosmeticsinfo.org,plant|soothing
Menthol,Cooling Agent,Medium,May irritate sensitive skin,ewg.org,cooling|irritant
Cocos Nucifera Milk Protein,Coconut Protein,Low,Safe and nourishing,cosmeticsinfo.org,protein|hair
Stearamidopropyl Dimethylamine,Conditioning Agent,Low,Generally safe,cosmeticsinfo.org,conditioner|hair
Guar Hydroxypropyltrimonium Chloride,Conditioning Polymer,Low,Safe,cosmeticsinfo.org,polymer|conditioning
Titanium Dioxide,Colorant,Low,Safe,fda,color|pigment
Tin Oxide,Color Stabilizer,Low,Safe,cosmeticsinfo.org,mineral|color
PEG-45M,Thickener,Medium,May contain impurities,ewg.org,polymer|thickener
Sodium Chloride,Salt,Low,Safe,cosmeticsinfo.org,base|salt
Citric Acid,pH Adjuster,Low,Generally safe,fda,acid|ph
Sodium Benzoate,Preservative,Low,Safe,cosmeticsinfo.org,preservative
Disodium EDTA,Stabilizer,Medium,May enhance penetration of chemicals,ewg.org,chemical|stabilizer
Epilobium Angustifolium Extract,Willow Herb Extract,Low,Soothing,

